Rank,Strategy,Direction,TF,Entry,Exit,SL,TP,Opened,Closed,Close Reason,Raw Pips,Spread,Slippage,Net Pips,Gross $,Net $,Risk Pips,Reward Pips,R:R
237,PVT_03_XAUUSD_H1,SELL,H1,4990.25,4986.17,4985.68,4974.25,2026-02-19T10:20:30,2026-02-19T10:32:40,sl_hit,40.8,12,1.5,27.3,4.08,2.61,45.7,160.0,3.5
238,WR_03_XAUUSD_H1,SELL,H1,4918.45,4914.37,4914.37,4902.45,2026-02-18T09:03:21,2026-02-18T10:56:45,sl_hit,40.8,12,1.6,27.2,4.08,2.6,40.8,160.0,3.92
239,ST_02_XAUUSD_H1,BUY,H1,4965.03,4969.01,4969.27,4981.03,2026-02-19T00:08:06,2026-02-19T00:41:51,sl_hit,39.8,12,0.7,27.1,3.98,2.59,42.4,160.0,3.77
240,FIB_05_XAUUSD_H1,SELL,H1,4915.05,4911.09,4910.48,4899.05,2026-02-18T10:37:58,2026-02-18T11:49:10,sl_hit,39.6,12,0.6,27.0,3.96,2.58,45.7,160.0,3.5
241,VOL_02_XAUUSD_H1,SELL,H1,4918.38,4914.37,4914.37,4902.38,2026-02-18T09:00:34,2026-02-18T10:56:45,sl_hit,40.1,12,1.1,27.0,4.01,2.58,40.1,160.0,3.99
242,MA_10_XAUUSD_H1,BUY,H1,4928.42,4932.46,4932.48,4944.42,2026-02-18T06:39:26,2026-02-18T06:58:43,sl_hit,40.4,12,1.5,26.9,4.04,2.57,40.6,160.0,3.94
243,RSI_09_XAUUSD_H1,SELL,H1,4918.45,4914.37,4914.37,4902.45,2026-02-18T09:36:13,2026-02-18T10:56:45,sl_hit,40.8,12,1.9,26.9,4.08,2.57,40.8,160.0,3.92
244,DIV_06_XAUUSD_H1,SELL,H1,4915.05,4911.09,4910.48,4899.05,2026-02-18T10:37:57,2026-02-18T11:49:10,sl_hit,39.6,12,0.9,26.7,3.96,2.55,45.7,160.0,3.5
245,MA_12_XAUUSD_H1,BUY,H1,4985.61,4989.52,4991.61,5001.61,2026-02-18T18:48:08,2026-02-18T19:26:16,sl_hit,39.1,12,0.7,26.4,3.91,2.52,60.0,160.0,2.67
246,MACD_04_XAUUSD_H1,BUY,H1,5013.26,5017.19,5018.36,5029.26,2026-02-19T08:20:46,2026-02-19T08:52:09,sl_hit,39.3,12,1.1,26.2,3.93,2.5,51.0,160.0,3.14
247,CDL_02_XAUUSD_H1,SELL,H1,4914.91,4911.09,4910.48,4898.91,2026-02-18T11:01:01,2026-02-18T11:49:10,sl_hit,38.2,12,1.0,25.2,3.82,2.4,44.3,160.0,3.61
248,PVT_02_XAUUSD_H1,SELL,H1,5002.73,4998.88,4998.48,4986.73,2026-02-18T16:41:44,2026-02-18T17:37:00,sl_hit,38.5,12,1.4,25.1,3.85,2.39,42.5,160.0,3.76
249,STOCH_03_XAUUSD_H1,SELL,H1,5000.11,4996.3,4995.21,4984.11,2026-02-18T16:07:16,2026-02-18T16:30:10,sl_hit,38.1,12,1.5,24.6,3.81,2.34,49.0,160.0,3.27
250,FIB_08_XAUUSD_H1,SELL,H1,4914.91,4911.18,4910.48,4898.91,2026-02-18T11:01:05,2026-02-18T11:49:10,sl_hit,37.3,12,0.9,24.4,3.73,2.32,44.3,160.0,3.61
251,MACD_08_XAUUSD_H1,SELL,H1,4974.16,4970.47,4970.07,4958.16,2026-02-19T02:09:07,2026-02-19T02:21:30,sl_hit,36.9,12,1.2,23.7,3.69,2.25,40.9,160.0,3.91
252,EW_06_XAUUSD_H1,SELL,H1,5002.73,4999.04,4998.48,4986.73,2026-02-18T16:41:44,2026-02-18T17:37:00,sl_hit,36.9,12,1.4,23.5,3.69,2.23,42.5,160.0,3.76
253,FIB_03_XAUUSD_H1,SELL,H1,4974.16,4970.47,4970.07,4958.16,2026-02-19T02:09:07,2026-02-19T02:21:30,sl_hit,36.9,12,1.4,23.5,3.69,2.23,40.9,160.0,3.91
254,ICH_05_XAUUSD_H1,BUY,H1,4985.34,4989.08,4991.61,5001.34,2026-02-18T18:52:22,2026-02-18T19:26:17,sl_hit,37.4,12,2.0,23.4,3.74,2.22,62.7,160.0,2.55
255,STOCH_03_XAUUSD_H1,SELL,H1,5003.23,4999.67,4998.69,4987.23,2026-02-18T15:06:43,2026-02-18T15:13:23,sl_hit,35.6,12,0.7,22.9,3.56,2.17,45.4,160.0,3.52
256,VOL_07_XAUUSD_H1,BUY,H1,5013.74,5017.2,5018.36,5029.74,2026-02-19T08:38:24,2026-02-19T08:52:10,sl_hit,34.6,12,0.9,21.7,3.46,2.05,46.2,160.0,3.46
257,ST_01_XAUUSD_H1,BUY,H1,4985.61,4989.08,4991.61,5001.61,2026-02-18T18:48:08,2026-02-18T19:26:16,sl_hit,34.7,12,1.8,20.9,3.47,1.97,60.0,160.0,2.67
258,VTX_02_XAUUSD_H1,BUY,H1,4931.51,4934.88,4935.69,4947.51,2026-02-18T07:01:22,2026-02-18T07:19:50,sl_hit,33.7,12,1.5,20.2,3.37,1.9,41.8,160.0,3.83
259,MA_02_XAUUSD_H1,SELL,H1,5003.01,4999.67,4998.69,4987.01,2026-02-18T15:04:59,2026-02-18T15:13:23,sl_hit,33.4,12,1.6,19.8,3.34,1.86,43.2,160.0,3.7
260,DIV_05_XAUUSD_H1,BUY,H1,4931.51,4934.88,4935.69,4947.51,2026-02-18T07:01:22,2026-02-18T07:19:50,sl_hit,33.7,12,2.0,19.7,3.37,1.85,41.8,160.0,3.83
261,ADX_01_XAUUSD_H1,BUY,H1,4958.7,4962.01,4964.5,4974.7,2026-02-18T13:17:25,2026-02-18T13:38:29,sl_hit,33.1,12,1.7,19.4,3.31,1.82,58.0,160.0,2.76
262,MA_04_XAUUSD_H1,BUY,H1,4985.84,4989.12,4991.61,5001.84,2026-02-18T18:49:02,2026-02-18T19:26:16,sl_hit,32.8,12,1.4,19.4,3.28,1.82,57.7,160.0,2.77
263,MA_11_XAUUSD_H1,BUY,H1,4985.84,4989.12,4991.61,5001.84,2026-02-18T18:49:02,2026-02-18T19:26:16,sl_hit,32.8,12,1.5,19.3,3.28,1.81,57.7,160.0,2.77
264,ARN_02_XAUUSD_H1,SELL,H1,4984.19,4981.0,4979.94,4968.19,2026-02-18T20:06:40,2026-02-18T20:19:11,sl_hit,31.9,12,0.7,19.2,3.19,1.8,42.5,160.0,3.76
265,FIB_05_XAUUSD_H1,BUY,H1,4985.64,4988.91,4991.61,5001.64,2026-02-18T18:55:00,2026-02-18T19:26:17,sl_hit,32.7,12,1.5,19.2,3.27,1.8,59.7,160.0,2.68
266,MTF_03_XAUUSD_H1,BUY,H1,4986.05,4989.23,4991.61,5002.05,2026-02-18T18:50:41,2026-02-18T19:26:17,sl_hit,31.8,12,0.6,19.2,3.18,1.8,55.6,160.0,2.88
267,MA_06_XAUUSD_H1,BUY,H1,4985.89,4989.05,4991.61,5001.89,2026-02-18T18:53:14,2026-02-18T19:26:17,sl_hit,31.6,12,1.1,18.5,3.16,1.73,57.2,160.0,2.8
268,ATR_03_XAUUSD_H1,BUY,H1,4986.05,4989.17,4991.61,5002.05,2026-02-18T18:50:41,2026-02-18T19:26:17,sl_hit,31.2,12,1.0,18.2,3.12,1.7,55.6,160.0,2.88
269,FIB_06_XAUUSD_H1,SELL,H1,4984.19,4981.0,4979.94,4968.19,2026-02-18T20:06:40,2026-02-18T20:19:11,sl_hit,31.9,12,1.8,18.1,3.19,1.69,42.5,160.0,3.76
270,PA_06_XAUUSD_H1,SELL,H1,4999.35,4996.28,4995.21,4983.35,2026-02-18T15:40:16,2026-02-18T16:30:09,sl_hit,30.7,12,0.9,17.8,3.07,1.66,41.4,160.0,3.86
271,ADX_01_XAUUSD_H1,BUY,H1,4978.22,4980.94,4982.38,4994.22,2026-02-18T20:30:52,2026-02-18T20:55:01,sl_hit,27.2,12,0.8,14.4,2.72,1.32,41.6,160.0,3.85
272,ST_06_XAUUSD_H1,BUY,H1,4978.22,4980.89,4982.38,4994.22,2026-02-18T20:30:51,2026-02-18T20:55:01,sl_hit,26.7,12,1.8,12.9,2.67,1.17,41.6,160.0,3.85
273,VOL_03_XAUUSD_H1,BUY,H1,4986.64,4989.14,4991.61,5002.64,2026-02-18T18:51:32,2026-02-18T19:26:17,sl_hit,25.0,12,0.5,12.5,2.5,1.13,49.7,160.0,3.22
274,ICH_01_XAUUSD_H1,BUY,H1,4986.64,4989.14,4991.61,5002.64,2026-02-18T18:51:32,2026-02-18T19:26:17,sl_hit,25.0,12,1.1,11.9,2.5,1.07,49.7,160.0,3.22
275,ST_01_XAUUSD_H1,BUY,H1,4987.71,4989.88,4992.56,5003.71,2026-02-19T10:12:28,2026-02-19T11:16:34,sl_hit,21.7,12,1.3,8.4,2.17,0.72,48.5,160.0,3.3
276,ADX_08_XAUUSD_H1,BUY,H1,4987.71,4989.82,4992.56,5003.71,2026-02-19T10:12:28,2026-02-19T11:16:34,sl_hit,21.1,12,0.9,8.2,2.11,0.7,48.5,160.0,3.3
277,SM_02_XAUUSD_H1,BUY,H1,4986.82,4988.68,4991.61,5002.82,2026-02-18T19:00:24,2026-02-18T19:26:17,sl_hit,18.6,12,0.7,5.9,1.86,0.47,47.9,160.0,3.34
