Rank,Strategy,Dir,TF,Entry,Exit,SL,TP,Opened,Closed,Reason,Raw Pips,Net Pips,Net $,R:R
281,STOCH_04_BTCUSD_H1,BUY,H1,66668.27,66927.9,66934.44,67668.27,2026-02-19T01:38:16,2026-02-19T02:30:36,sl_hit,259.6,209.0,1.9703,3.76
282,PVT_03_BTCUSD_H1,BUY,H1,66449.79,66710.6,66734.13,67449.79,2026-02-18T23:01:31,2026-02-19T01:37:27,sl_hit,260.8,208.9,1.9691,3.52
283,BB_08_BTCUSD_H1,BUY,H1,66668.27,66927.9,66934.44,67668.27,2026-02-19T01:38:16,2026-02-19T02:30:36,sl_hit,259.6,208.2,1.9623,3.76
284,BB_08_BTCUSD_H1,BUY,H1,66739.54,66998.68,67017.03,67739.54,2026-02-19T02:38:40,2026-02-19T04:05:45,sl_hit,259.1,207.3,1.9534,3.6
285,MA_07_BTCUSD_H1,SELL,H1,66940.86,66683.29,66673.82,65940.86,2026-02-19T03:30:27,2026-02-19T11:47:49,sl_hit,257.6,205.8,1.9377,3.74
286,ST_02_BTCUSD_H1,SELL,H1,67554.69,67300.38,67280.88,66554.69,2026-02-18T12:09:33,2026-02-18T13:46:16,sl_hit,254.3,203.7,1.9171,3.65
287,DIV_06_BTCUSD_H1,BUY,H1,66455.8,66710.6,66736.68,67455.8,2026-02-18T20:44:58,2026-02-19T01:37:26,sl_hit,254.8,202.9,1.909,3.56
288,PA_06_BTCUSD_H1,SELL,H1,67552.23,67300.06,67280.88,66552.23,2026-02-18T12:47:56,2026-02-18T13:46:16,sl_hit,252.2,201.0,1.8897,3.69
289,MOM_01_BTCUSD_H1,SELL,H1,67552.23,67300.06,67280.88,66552.23,2026-02-18T12:47:56,2026-02-18T13:46:16,sl_hit,252.2,200.6,1.8857,3.69
290,ICH_04_BTCUSD_H1,SELL,H1,67547.42,67300.06,67280.88,66547.42,2026-02-18T12:51:17,2026-02-18T13:46:16,sl_hit,247.4,196.7,1.8466,3.75
291,BB_08_BTCUSD_H1,BUY,H1,66466.73,66710.6,66734.13,67466.73,2026-02-19T00:00:28,2026-02-19T01:37:27,sl_hit,243.9,192.3,1.8027,3.74
292,MACD_01_BTCUSD_H1,SELL,H1,66455.75,66214.51,66146.93,65455.75,2026-02-18T19:05:52,2026-02-18T19:33:28,sl_hit,241.2,190.6,1.7864,3.24
293,BB_09_BTCUSD_H1,BUY,H1,66161.12,66398.72,66433.58,67161.12,2026-02-18T21:03:45,2026-02-18T21:50:57,sl_hit,237.6,186.8,1.748,3.67
294,KST_03_BTCUSD_H1,BUY,H1,66161.12,66398.72,66433.58,67161.12,2026-02-18T21:03:44,2026-02-18T21:50:57,sl_hit,237.6,186.4,1.744,3.67
295,FIB_08_BTCUSD_H1,SELL,H1,66300.78,66073.22,66010.33,65300.78,2026-02-19T15:53:43,2026-02-19T16:08:53,sl_hit,227.6,176.0,1.6396,3.44
296,MOM_01_BTCUSD_H1,BUY,H1,67176.72,67402.08,67504.67,68176.72,2026-02-18T13:48:53,2026-02-18T15:06:44,sl_hit,225.4,174.0,1.6196,3.05
297,MA_10_BTCUSD_H1,SELL,H1,66302.13,66080.17,66010.05,65302.13,2026-02-19T14:47:17,2026-02-19T16:08:52,sl_hit,222.0,171.1,1.5906,3.42
298,ATR_01_BTCUSD_H1,SELL,H1,66293.79,66073.03,66010.33,65293.79,2026-02-19T16:01:39,2026-02-19T16:08:53,sl_hit,220.8,170.1,1.5806,3.53
299,VOL_01_BTCUSD_H1,SELL,H1,66293.79,66073.23,66010.33,65293.79,2026-02-19T16:01:36,2026-02-19T16:08:53,sl_hit,220.6,169.6,1.5756,3.53
300,HARM_06_BTCUSD_H1,SELL,H1,66286.9,66073.17,66010.33,65286.9,2026-02-19T15:52:52,2026-02-19T16:08:53,sl_hit,213.7,162.4,1.5043,3.62
301,CH_04_BTCUSD_H1,SELL,H1,67101.68,66892.3,66684.23,66101.68,2026-02-18T16:10:44,2026-02-18T18:24:18,sl_hit,209.4,157.6,1.4558,2.4
302,MA_12_BTCUSD_H1,SELL,H1,67101.68,66892.3,66684.23,66101.68,2026-02-18T16:10:44,2026-02-18T18:24:18,sl_hit,209.4,157.6,1.4558,2.4
303,MS_01_BTCUSD_H1,BUY,H1,65951.12,66160.12,66280.79,66951.12,2026-02-19T14:03:14,2026-02-19T14:46:27,sl_hit,209.0,157.3,1.453,3.03
304,PVT_02_BTCUSD_H1,SELL,H1,66387.62,66179.86,66092.27,65387.62,2026-02-19T14:51:29,2026-02-19T15:16:34,sl_hit,207.8,157.1,1.4506,3.39
305,VOL_03_BTCUSD_H1,BUY,H1,66217.54,66425.66,66499.57,67217.54,2026-02-19T15:16:32,2026-02-19T15:40:43,sl_hit,208.1,156.8,1.4482,3.55
306,STOCH_08_BTCUSD_H1,SELL,H1,66286.21,66080.02,66010.33,65286.21,2026-02-19T15:12:18,2026-02-19T16:08:52,sl_hit,206.2,155.4,1.4339,3.62
307,ST_05_BTCUSD_H1,SELL,H1,66286.21,66080.02,66010.33,65286.21,2026-02-19T15:12:18,2026-02-19T16:08:52,sl_hit,206.2,154.5,1.4249,3.62
308,PVT_01_BTCUSD_H1,SELL,H1,66387.62,66182.5,66092.27,65387.62,2026-02-19T14:51:29,2026-02-19T15:16:34,sl_hit,205.1,154.3,1.4232,3.39
309,PVT_01_BTCUSD_H1,SELL,H1,66278.21,66075.84,66010.33,65278.21,2026-02-19T15:52:00,2026-02-19T16:08:53,sl_hit,202.4,150.7,1.3867,3.73
310,PVT_02_BTCUSD_H1,SELL,H1,66278.21,66075.84,66010.33,65278.21,2026-02-19T15:52:00,2026-02-19T16:08:53,sl_hit,202.4,150.5,1.3847,3.73
311,SM_05_BTCUSD_H1,BUY,H1,67211.26,67398.77,67505.34,68211.26,2026-02-18T15:00:18,2026-02-18T15:07:35,sl_hit,187.5,136.4,1.2441,3.4
312,ADX_01_BTCUSD_H1,SELL,H1,66376.05,66190.34,66044.44,65376.05,2026-02-19T15:17:23,2026-02-19T15:24:58,sl_hit,185.7,135.2,1.2321,3.02
313,MACD_04_BTCUSD_H1,SELL,H1,66376.05,66190.34,66044.44,65376.05,2026-02-19T15:17:23,2026-02-19T15:24:59,sl_hit,185.7,134.5,1.2251,3.02
314,MTF_03_BTCUSD_H1,SELL,H1,67120.14,66945.29,66810.17,66120.14,2026-02-18T14:37:18,2026-02-18T14:51:55,sl_hit,174.9,123.2,1.1115,3.23
315,PA_01_BTCUSD_H1,BUY,H1,65999.85,66160.12,66280.74,66999.85,2026-02-19T13:44:44,2026-02-19T14:46:26,sl_hit,160.3,109.4,0.9737,3.56
316,MA_10_BTCUSD_H1,BUY,H1,65999.85,66160.12,66280.74,66999.85,2026-02-19T13:44:45,2026-02-19T14:46:26,sl_hit,160.3,109.2,0.9717,3.56
317,HARM_01_BTCUSD_H1,SELL,H1,65982.83,65833.18,65686.77,64982.83,2026-02-19T13:44:45,2026-02-19T14:38:00,sl_hit,149.7,98.5,0.8645,3.38
318,ADX_01_BTCUSD_H1,SELL,H1,65994.59,65847.27,65686.08,64994.59,2026-02-19T14:17:01,2026-02-19T14:38:01,sl_hit,147.3,96.4,0.8442,3.24
319,ICH_04_BTCUSD_H1,SELL,H1,67036.77,66892.3,66684.23,66036.77,2026-02-18T16:53:28,2026-02-18T18:24:18,sl_hit,144.5,93.9,0.8187,2.84
320,MTF_01_BTCUSD_H1,SELL,H1,66333.05,66190.34,66047.88,65333.05,2026-02-19T15:11:24,2026-02-19T15:24:58,sl_hit,142.7,90.8,0.7881,3.51
321,CCI_02_BTCUSD_H1,BUY,H1,68163.44,68293.14,68430.66,69163.44,2026-02-18T08:02:32,2026-02-18T08:28:03,sl_hit,129.7,77.8,0.658,3.74
322,ICH_06_BTCUSD_H1,SELL,H1,65952.91,65886.29,65686.08,64952.91,2026-02-19T14:29:57,2026-02-19T14:38:52,sl_hit,66.6,15.6,0.0362,3.75
323,MACD_08_BTCUSD_H1,SELL,H1,65952.91,65886.29,65686.08,64952.91,2026-02-19T14:29:57,2026-02-19T14:38:52,sl_hit,66.6,14.7,0.0272,3.75
